Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	ANI Check status	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Stats Total Number of Chromosomes	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Contig N50	Assembly Stats Scaffold N50	Assembly Stats Number of Scaffolds	Annotation BUSCO Complete 	Annotation BUSCO Single Copy 	Annotation BUSCO Duplicated 	Annotation BUSCO Fragmented 	Annotation BUSCO Missing 	Annotation BUSCO Lineage 	Assembly Sequencing Tech	Assembly Submitter	Assembly BioProject Accession	Assembly BioSample Accession	Annotation Count Gene Total	Annotation Count Gene Protein-coding	Annotation Count Gene Pseudogene	Type Material Display Text	CheckM marker set	CheckM completeness	CheckM contamination
GCA_012980525.1	ASM1298052v1	Pleurotus pulmonarius	28995			PM_ss2					Annotation submitted by Academia Sinica	39235597		Contig	2020-05-07	SJKE01	3175356									PacBio	Academia Sinica	PRJNA523385	SAMN10975466	10848	10640					
GCA_032158505.1	ASM3215850v1	Pleurotus pulmonarius	28995			CCMSSC 04423						42323363		Contig	2023-09-28	VUOF01	2663750									PacBio RSII	Zhejiang Academy of Agricultural Sciences	PRJNA561278	SAMN08055039							
GCA_029874165.1	ASM2987416v1	Pleurotus tuoliensis	879823			CCMJ1077	Tianshang 2 Hao					43331340		Contig	2023-04-26	SPUO01	2450071									PacBio Sequel	Jilin Agricultural University	PRJNA529057	SAMN11254548							
GCA_003243755.1	ASM324375v1	Pleurotus tuoliensis	879823			JKBL130LB						48227411		Contig	2018-06-18	QCWT01	1168774									PacBio	Northeast Normal University	PRJNA450171	SAMN08931442							
GCA_002847145.1	ASM284714v1	Pleurotus tuoliensis	879823			CCMSSC00489P1						41087772		Scaffold	2017-12-22	MKZX01	51043	628135	1409							Illumina HiSeq	Chinese Academy of Agricultural Sciences	PRJNA347614	SAMN05893377							
GCA_003313115.1	ASM331311v1	Pleurotus tuoliensis	879823			MG79						43502073		Scaffold	2018-07-11	QGOE01	15963	22588	7458							Complete Genomics	Kunming University of Science and Technology	PRJNA454572	SAMN09010678							
GCA_003314595.1	ASM331459v1	Pleurotus citrinopileatus	98342			MG63						36840090		Scaffold	2018-07-11	QMFI01	7719	9672	10689							Complete Genomics	Kunming University of Science and Technology	PRJNA454572	SAMN09010677							
GCA_019693315.1	ASM1969331v1	Pleurotus tuber-regium	716892			JN18						39435318		Contig	2021-08-18	JAGMTK01	1181580									PacBio	Jiangnan University	PRJNA720214	SAMN18642578							
GCA_002933715.1	PsmonoN4v_1.0	Pleurotus salmoneostramineus	64638			N4						39773967		Scaffold	2018-01-25	BEWE01	102947	107283	1597							Illumina NextSeq 500	Applied Bioscience, Kindai University, Faculty of Agriculture	PRJDB6242	SAMD00092844							
GCA_003314355.1	CUFNS_Cheung_Ptr_1.0	Pleurotus tuber-regium	716892			KL18						33563622		Scaffold	2018-07-11	QLLH01	55887	223672	1283							Illumina HiSeq	The Chinese University of Hong Kong	PRJNA475216	SAMN09382022							
GCA_001742905.1	Psal_8.0	Pleurotus salmoneostramineus	64638			NBRC 31859						65897893		Scaffold	2016-08-09	BDGN01	4512	4878	26934							NextSeq 500	Kindai University	PRJDB4995	SAMD00056126							
GCA_036873075.1	ASM3687307v1	Pleurotus giganteus	1156456			zhudugu2						40035591		Contig	2024-02-26	JAYMYW01	2610276									PacBio	Shanghai Academy of Agricultural Sciences	PRJNA1062731	SAMN39313592							
GCA_024195665.1	ASM2419566v1	Pleurotus ostreatus	5322			595						79672774		Contig	2022-07-08	JAKNCV01	365186									Illumina HiSeq; Oxford Nanopore	Nankai university	PRJNA783992	SAMN23459969							
GCA_003314755.1	ASM331475v1	Pleurotus eryngii	5323			MG61						174580441		Scaffold	2018-07-11	QMFH01	4091	4216	104407							Complete Genomics	Kunming University of Science and Technology	PRJNA454572	SAMN09010679							
GCA_005298045.1	ASM529804v1	Pleurotus ostreatoroseus	2048520			DPUA 1720					Annotation submitted by Amazonian macromicets: knowing their diversity and evaluating their biotechnological potential in a sustainable way	38588587		Contig	2019-05-13	SWBT01	180995									Illumina HiSeq	Amazonian macromicets: knowing their diversity and evaluating their biotechnological potential in a sustainable way	PRJNA507735	SAMN10503127	11510	11296					
